A,B,C,D
10.08,1.80,1.25,2.70
10.20,1.70,1.50,2.60
10.31,1.60,1.50,2.50
10.42,1.50,1.50,3.00
10.53,0.70,1.50,3.00
10.67,0.60,1.25,3.00
10.79,0.50,1.00,2.80
10.83,-0.40,1.00,2.70
11.01,-0.50,1.00,2.70
11.16,-0.60,1.00,2.70
11.26,-0.70,1.00,2.60
11.34,-0.80,1.00,2.40
11.45,-0.90,1.00,2.40
11.52,-1.00,0.75,2.40
11.56,-1.00,0.75,2.60
11.65,-1.00,0.75,2.60
11.80,-1.00,0.75,2.50
11.91,-1.00,0.75,2.20
11.95,-1.00,0.75,2.20
12.13,-1.10,0.75,2.00
12.14,-1.30,0.75,1.90
12.12,-1.20,0.75,1.70
12.14,-0.50,0.75,1.20
12.13,-0.40,0.50,1.40
12.09,-0.30,0.50,1.60
12.09,0.00,0.50,1.60
12.05,0.10,0.50,1.30
12.08,0.20,0.50,1.10
12.01,0.60,0.50,0.70
11.99,0.70,0.25,0.90
11.94,0.80,0.25,0.80
11.99,1.45,0.25,0.80
11.95,1.55,0.25,0.70
11.84,1.50,0.25,0.50
11.74,1.30,0.25,0.70
11.69,1.20,0.25,0.50
11.54,1.10,0.15,0.50
11.62,1.30,0.15,0.40
11.51,1.40,0.15,0.40
11.54,1.50,0.05,0.30
11.56,1.50,0.05,0.40
11.58,1.50,0.05,0.30
11.41,1.50,0.05,-0.20
11.29,1.60,0.05,-0.60
11.26,1.70,0.05,-0.30
11.23,1.80,0.05,-0.10
11.11,1.90,0.05,0.20
11.07,2.00,0.05,0.60
11.02,2.10,0.05,0.50
10.80,2.00,0.05,0.50
10.69,2.00,0.05,0.40
10.65,2.00,0.05,0.20
10.65,2.00,0.05,0.40
10.53,2.00,0.05,0.10
10.51,2.00,0.05,0.30
10.42,2.00,0.05,0.30
10.39,1.90,0.05,-0.10
10.29,1.80,0.00,0.00
10.25,1.70,0.00,-0.30
10.18,1.70,0.00,-0.10
10.13,1.70,0.00,0.00
9.98,1.70,0.00,0.20
9.91,1.70,0.00,0.20
9.88,1.70,0.00,0.40
9.78,1.90,0.00,0.50
9.82,2.00,0.00,0.60
9.69,2.10,0.00,1.10
9.60,2.10,0.00,1.70
9.51,2.20,0.00,2.00
9.45,2.30,0.00,1.50
9.25,2.60,0.00,1.90
9.22,2.70,0.00,1.40
9.08,2.80,0.00,1.30
9.04,2.90,0.00,1.30
8.98,3.00,0.00,1.50
8.91,3.10,0.00,1.60
8.80,3.20,0.00,1.40
8.73,3.10,0.00,1.50
8.70,3.00,0.00,1.30
